1, 99132, 16
0, 99148, 1
1, 99148, 1
1, 97516, 512
0, 98028, 512
0, 99148, 1
1, 99148, 17
0, 99165, 1
1, 99165, 1
1, 98028, 512
0, 98540, 512
0, 99132, 1
1, 99132, 16
0, 99148, 1
1, 99148, 1
1, 98540, 512
0, 99052, 80
0, 99148, 1
1, 99148, 17
0, 99165, 1
1, 99165, 1
1, 99052, 80
0, 99165, 513
0, 99132, 1
1, 99132, 16
0, 99148, 1
1, 99148, 1
0, 99165, 1
1, 99165, 32
0, 99197, 1
1, 99197, 1
0, 99197, 1
1, 99197, 32
0, 99229, 1
1, 99229, 1
0, 99229, 1
1, 99229, 32
0, 99261, 1
1, 99261, 1
0, 99261, 1
1, 99261, 32
0, 99293, 1
1, 99293, 1
0, 99293, 1
1, 99293, 32
0, 99325, 1
1, 99325, 1
0, 99325, 1
1, 99325, 32
0, 99357, 1
1, 99357, 1
0, 99357, 1
1, 99357, 32
0, 99389, 1
1, 99389, 1
0, 99389, 1
1, 99389, 32
0, 99421, 1
1, 99421, 1
0, 99421, 1
1, 99421, 32
0, 99453, 1
1, 99453, 1
0, 99453, 1
1, 99453, 32
0, 99485, 1
1, 99485, 1
0, 99485, 1
1, 99485, 32
0, 99517, 1
1, 99517, 1
0, 99517, 1
1, 99517, 32
0, 99549, 1
1, 99549, 1
0, 99549, 1
1, 99549, 32
0, 99581, 1
1, 99581, 1
0, 99581, 1
1, 99581, 32
0, 99613, 1
1, 99613, 1
0, 99613, 1
1, 99613, 32
0, 99645, 1
1, 99645, 1
0, 99645, 1
1, 99645, 32
0, 99677, 1
1, 99677, 1
0, 99677, 513
0, 99148, 1
1, 99148, 17
0, 99165, 1
1, 99165, 1
0, 99677, 1
1, 99677, 32
0, 99709, 1
1, 99709, 1
0, 99709, 1
1, 99709, 32
0, 99741, 1
1, 99741, 1
0, 99741, 1
1, 99741, 32
0, 99773, 1
1, 99773, 1
0, 99773, 1
1, 99773, 32
0, 99805, 1
1, 99805, 1
0, 99805, 1
1, 99805, 32
0, 99837, 1
1, 99837, 1
0, 99837, 1
1, 99837, 32
0, 99869, 1
1, 99869, 1
0, 99869, 1
1, 99869, 32
0, 99901, 1
1, 99901, 1
0, 99901, 1
1, 99901, 32
0, 99933, 1
1, 99933, 1
0, 99933, 1
1, 99933, 32
0, 99965, 1
1, 99965, 1
0, 99965, 1
1, 99965, 32
0, 99997, 1
1, 99997, 1
0, 99997, 1
1, 99997, 32
0, 100029, 1
1, 100029, 1
0, 100029, 1
1, 100029, 32
0, 100061, 1
1, 100061, 1
0, 100061, 1
1, 100061, 32
0, 100093, 1
1, 100093, 1
0, 100093, 1
1, 100093, 32
0, 100125, 1
1, 100125, 1
0, 100125, 1
1, 100125, 32
0, 100157, 1
1, 100157, 1
0, 100157, 1
1, 100157, 32
0, 100189, 1
1, 100189, 1
0, 100189, 513
0, 99132, 1
1, 99132, 16
0, 99148, 1
1, 99148, 1
0, 100189, 1
1, 100189, 32
0, 100221, 1
1, 100221, 1
0, 100221, 1
1, 100221, 32
0, 100253, 1
1, 100253, 1
0, 100253, 1
1, 100253, 32
0, 100285, 1
1, 100285, 1
0, 100285, 1
1, 100285, 32
0, 100317, 1
1, 100317, 1
0, 100317, 1
1, 100317, 32
0, 100349, 1
1, 100349, 1
0, 100349, 1
1, 100349, 32
0, 100381, 1
1, 100381, 1
0, 100381, 1
1, 100381, 32
0, 100413, 1
1, 100413, 1
0, 100413, 1
1, 100413, 32
0, 100445, 1
1, 100445, 1
0, 100445, 1
1, 100445, 32
0, 100477, 1
1, 100477, 1
0, 100477, 1
1, 100477, 32
0, 100509, 1
1, 100509, 1
0, 100509, 1
1, 100509, 32
0, 100541, 1
1, 100541, 1
0, 100541, 1
1, 100541, 32
0, 100573, 1
1, 100573, 1
0, 100573, 1
1, 100573, 32
0, 100605, 1
1, 100605, 1
0, 100605, 1
1, 100605, 32
0, 100637, 1
1, 100637, 1
0, 100637, 1
1, 100637, 32
0, 100669, 1
1, 100669, 1
0, 100669, 1
1, 100669, 32
0, 100701, 1
1, 100701, 1
0, 100701, 513
0, 99148, 1
1, 99148, 17
0, 99165, 1
1, 99165, 1
0, 100701, 1
1, 100701, 32
0, 100733, 1
1, 100733, 1
0, 100733, 1
1, 100733, 32
0, 100765, 1
1, 100765, 1
0, 100765, 1
1, 100765, 32
0, 100797, 1
1, 100797, 1
0, 100797, 1
1, 100797, 32
0, 100829, 1
1, 100829, 1
0, 100829, 1
1, 100829, 32
0, 100861, 1
1, 100861, 1
0, 100861, 1
1, 100861, 32
0, 100893, 1
1, 100893, 1
0, 100893, 1
1, 100893, 32
0, 100925, 1
1, 100925, 1
0, 100925, 1
1, 100925, 32
0, 100957, 1
1, 100957, 1
0, 100957, 1
1, 100957, 32
0, 100989, 1
1, 100989, 1
0, 100989, 1
1, 100989, 32
0, 101021, 1
1, 101021, 1
0, 101021, 1
1, 101021, 32
0, 101053, 1
1, 101053, 1
0, 101053, 1
1, 101053, 32
0, 101085, 1
1, 101085, 1
0, 101085, 1
1, 101085, 32
0, 101117, 1
1, 101117, 1
0, 101117, 1
1, 101117, 32
0, 101149, 1
1, 101149, 1
0, 101149, 1
1, 101149, 32
0, 101181, 1
1, 101181, 1
0, 101181, 1
1, 101181, 32
0, 101213, 1
1, 101213, 1
0, 101213, 513
0, 99132, 1
1, 99132, 16
0, 99148, 1
1, 99148, 1
0, 101213, 1
1, 101213, 32
0, 101245, 1
1, 101245, 1
0, 101245, 1
1, 101245, 32
0, 101277, 1
1, 101277, 1
0, 101277, 1
1, 101277, 32
0, 101309, 1
1, 101309, 1
0, 101309, 1
1, 101309, 32
0, 101341, 1
1, 101341, 1
0, 101341, 1
1, 101341, 32
0, 101373, 1
1, 101373, 1
0, 101373, 1
1, 101373, 32
0, 101405, 1
1, 101405, 1
0, 101405, 1
1, 101405, 32
0, 101437, 1
1, 101437, 1
0, 101437, 1
1, 101437, 32
0, 101469, 1
1, 101469, 1
0, 101469, 1
1, 101469, 32
0, 101501, 1
1, 101501, 1
0, 101501, 1
1, 101501, 32
0, 101533, 1
1, 101533, 1
